X,Y,month,day,fuel_humidity,fuel_available,soil_humidity,drought,propagation_speed,temp,air_humidity,wind_speed,rain,area
2,2,sep,fri,92.4,202.56954537979584,117.9,668.0,12.2,23.0,37,4.5,0.0,0.0
2,2,sep,fri,92.4,151.739559494785,117.9,668.0,12.2,19.6,33,5.4,0.0,0.0
2,2,sep,fri,92.4,268.6863964714,117.9,668.0,12.2,19.6,33,6.3,0.0,0.0
4,5,mar,fri,91.7,20.850726055196922,33.3,77.5,9.0,17.2,26,4.5,0.0,0.0
4,5,mar,fri,91.2,30.11720488031984,,97.8,12.5,15.8,27,7.6,0.0,0.0
4,5,sep,fri,94.3,195.87353930647302,85.1,692.3,15.9,17.7,37,3.6,0.0,0.0
5,4,mar,fri,91.7,58.64181149405165,33.3,77.5,9.0,15.6,25,6.3,0.0,0.0
5,4,aug,tue,88.8,277.53018926307857,147.3,614.5,9.0,17.3,43,4.5,0.0,0.0
5,4,sep,fri,93.3,227.16746222016548,141.2,713.9,13.9,27.6,30,1.3,0.0,0.0
9,9,feb,thu,84.2,44.28044502793268,6.8,26.6,7.7,6.7,79,3.1,0.0,0.0
9,9,feb,fri,86.6,44.16679655201801,13.2,43.0,5.3,15.7,43,3.1,0.0,0.0
1,3,mar,mon,87.6,114.3220677520575,52.2,103.8,5.0,8.3,72,3.1,0.0,0.0
1,2,aug,fri,90.1,162.89356400983323,108.0,529.8,12.5,14.7,66,2.7,0.0,0.0
1,2,aug,tue,91.0,171.88800789567637,121.2,561.6,7.0,21.6,19,6.7,0.0,0.0
1,2,aug,sun,91.4,97.96919480014594,142.4,601.4,10.6,19.5,39,6.3,0.0,0.0
1,2,aug,sun,90.2,177.12157236735405,99.6,631.2,6.3,17.9,44,2.2,0.0,0.0
1,2,aug,tue,94.8,248.40482935080112,108.3,647.1,17.0,18.6,51,4.5,0.0,0.0
1,2,aug,wed,92.1,208.41594323733074,111.2,654.1,9.6,16.6,47,0.9,0.0,0.0
1,2,aug,thu,91.7,233.0533007022962,114.3,661.3,6.3,20.2,45,3.6,0.0,0.0
1,2,sep,thu,92.9,164.71023966450247,137.0,706.4,9.2,21.5,15,0.9,0.0,0.0
1,2,sep,thu,92.9,232.43870917357347,137.0,706.4,9.2,25.4,27,2.2,0.0,0.0
1,2,sep,thu,92.9,211.40920045890718,137.0,706.4,9.2,22.4,34,2.2,0.0,0.0
1,2,sep,sun,93.5,217.47724029927926,149.3,728.6,8.1,25.3,36,3.6,0.0,0.0
6,5,mar,sat,91.7,115.31680979257432,35.8,80.8,7.8,17.4,25,4.9,0.0,0.0
6,5,aug,sat,90.2,199.43064369006024,96.9,624.2,8.9,14.7,59,5.8,0.0,0.0
8,6,mar,fri,91.7,17.52585060067818,35.8,80.8,7.8,17.4,24,5.4,0.0,0.0
8,6,aug,sun,92.3,249.4932266397795,85.3,488.0,14.7,20.8,32,6.3,0.0,0.0
8,6,aug,sun,91.4,184.2805562236543,142.4,601.4,10.6,18.2,43,4.9,0.0,0.0
8,6,aug,mon,91.1,277.6764418028364,,638.8,5.8,23.4,22,2.7,0.0,0.0
4,4,sep,sun,89.7,206.77630701162724,90.0,704.4,4.8,17.8,64,1.3,0.0,0.0
3,4,feb,sat,83.9,49.50776044420218,8.0,30.2,2.6,12.7,48,1.8,0.0,0.0
3,4,mar,sat,69.0,89.53981807190627,2.4,15.5,0.7,17.4,24,5.4,0.0,0.0
3,4,aug,sun,91.4,149.68028327145257,142.4,601.4,10.6,11.6,87,4.5,0.0,0.0
3,4,aug,sun,91.4,110.50489819064786,142.4,601.4,10.6,19.8,39,5.4,0.0,0.0
3,4,aug,sun,91.4,195.15625868315206,142.4,601.4,10.6,19.8,39,5.4,0.0,0.0
3,4,aug,tue,88.8,184.09286754739495,147.3,614.5,9.0,14.4,66,5.4,0.0,0.0
2,4,aug,tue,94.8,253.0352670937199,108.3,647.1,17.0,20.1,40,4.0,0.0,0.0
2,4,sep,sat,92.5,219.4875131356238,121.1,674.4,8.6,24.1,29,4.5,0.0,0.0
2,4,jan,sat,82.1,6.6698194385976635,3.7,9.3,2.9,5.3,78,3.1,0.0,0.0
4,5,mar,fri,85.9,74.56609406715556,19.5,57.3,2.8,12.7,52,6.3,0.0,0.0
4,5,mar,thu,91.4,55.56242667677377,30.7,74.3,,18.2,29,3.1,0.0,0.0
4,5,aug,sun,90.2,180.57699766459783,99.6,631.2,,21.4,33,3.1,0.0,0.0
4,5,sep,sat,92.5,210.08032007070798,88.0,698.6,7.1,20.3,45,3.1,0.0,0.0
4,5,sep,mon,88.6,204.12527044435464,91.8,709.9,7.1,17.4,56,5.4,0.0,0.0
4,4,mar,fri,85.9,53.345223306753425,19.5,57.3,2.8,13.7,43,5.8,0.0,0.0
3,4,mar,fri,91.7,172.96311799266905,33.3,77.5,9.0,18.8,18,4.5,0.0,0.0
3,4,sep,sun,89.7,319.60692391363733,90.0,704.4,4.8,22.8,39,3.6,0.0,0.0
3,4,sep,mon,91.8,319.25312560792565,78.5,724.3,9.2,18.9,35,2.7,0.0,0.0
3,4,mar,tue,88.1,40.603721393921624,25.7,67.6,3.8,15.8,27,7.6,0.0,0.0
3,5,mar,tue,88.1,80.83778155748313,25.7,67.6,3.8,15.5,27,6.3,0.0,0.0
3,4,mar,sat,91.7,0.0,35.8,80.8,7.8,11.6,30,6.3,0.0,0.0
3,4,mar,sat,91.7,92.2622433204011,35.8,80.8,7.8,15.2,27,4.9,0.0,0.0
3,4,mar,mon,90.1,8.996767278216836,39.7,86.6,6.2,10.6,30,4.0,0.0,0.0
3,4,aug,thu,93.0,165.20904877298796,75.3,466.6,7.7,19.6,36,3.1,0.0,0.0
3,4,aug,mon,91.5,264.3010800097794,145.4,608.2,10.7,10.3,74,2.2,0.0,0.0
3,4,aug,mon,91.5,232.50447248433542,145.4,608.2,10.7,17.1,43,5.4,0.0,0.0
3,4,sep,sun,92.4,175.80665941910817,124.1,680.7,8.5,22.5,42,5.4,0.0,0.0
3,4,sep,tue,84.4,282.1831044204051,73.4,671.9,3.2,17.9,45,3.1,0.0,0.0
3,4,sep,fri,94.3,226.53731844620103,85.1,692.3,15.9,19.8,50,5.4,0.0,0.0
3,4,oct,sun,92.6,187.93115329128022,46.5,691.8,8.8,20.6,24,5.4,0.0,0.0
3,5,mar,mon,87.6,79.85555688216442,52.2,103.8,5.0,9.0,49,2.2,0.0,0.0
3,5,sep,fri,93.5,262.4179150179595,149.3,728.6,8.1,17.2,43,3.1,0.0,0.0
3,5,oct,wed,91.4,233.52315674628383,37.9,673.8,5.2,15.9,46,3.6,0.0,0.0
2,5,oct,sun,92.6,205.27343200466763,46.5,691.8,8.8,15.4,35,0.9,0.0,0.0
4,6,feb,sat,68.2,108.95400041724061,21.5,87.2,0.8,15.4,40,2.7,0.0,0.0
4,6,mar,mon,87.2,59.67606860879742,23.9,64.7,4.1,14.0,39,3.1,0.0,0.0
4,6,mar,sun,89.3,63.25339060973455,51.3,102.2,9.6,10.6,46,4.9,0.0,0.0
4,6,sep,thu,93.7,208.68704365451958,80.9,685.2,17.9,17.6,42,3.1,0.0,0.0
3,5,mar,tue,88.1,49.65031559827169,25.7,67.6,3.8,14.9,38,2.7,0.0,0.0
3,5,aug,sat,93.5,202.17511651001968,139.4,594.2,20.3,17.6,52,5.8,0.0,0.0
3,6,sep,sun,92.4,206.41771584556858,124.1,680.7,8.5,17.2,58,1.3,0.0,0.0
3,6,sep,mon,90.9,268.06913306448797,126.5,686.5,7.0,15.6,66,3.1,0.0,0.0
9,9,jul,tue,85.8,85.5288639146551,48.3,313.4,3.9,18.0,42,2.7,0.0,0.36
1,4,sep,tue,91.0,191.83889996111657,129.5,692.6,7.0,21.7,38,2.2,0.0,0.43
2,5,sep,mon,90.9,192.4250268724991,126.5,686.5,7.0,21.9,39,1.8,0.0,0.47
1,2,aug,wed,95.5,175.46780568479394,99.9,513.3,13.2,23.3,31,4.5,0.0,0.55
8,6,aug,fri,90.1,152.12538113689584,108.0,529.8,12.5,21.2,51,8.9,0.0,0.61
1,2,jul,sat,90.0,106.04188924420252,51.3,296.3,8.7,16.6,53,5.4,0.0,0.71
2,5,aug,wed,95.5,196.8940111954432,99.9,513.3,13.2,23.8,32,5.4,0.0,0.77
6,5,aug,thu,95.2,177.1423801480946,131.7,578.8,10.4,27.4,22,4.0,0.0,0.9
5,4,mar,mon,90.1,58.77679262420771,39.7,86.6,6.2,13.2,40,5.4,0.0,0.95
8,3,sep,tue,84.4,247.601259444774,73.4,671.9,3.2,24.2,28,3.6,0.0,0.96
2,2,aug,tue,94.8,200.15199618310515,108.3,647.1,17.0,17.4,43,6.7,0.0,1.07
8,6,sep,thu,93.7,243.5512040248525,80.9,685.2,17.9,23.7,25,4.5,0.0,1.12
6,5,jun,fri,92.5,156.5201239553005,56.4,433.3,7.1,23.2,39,5.4,0.0,1.19
9,9,jul,sun,90.1,139.51974392548195,68.6,355.2,7.2,24.8,29,2.2,0.0,1.36
3,4,jul,sat,90.1,252.6333610479953,51.2,424.1,6.2,24.6,43,1.8,0.0,1.43
5,4,sep,fri,94.3,240.75167652800724,85.1,692.3,15.9,20.1,47,4.9,0.0,1.46
1,5,sep,sat,93.4,221.0594301671609,145.4,721.4,8.1,29.6,27,2.7,0.0,1.46
7,4,aug,sun,94.8,196.2862403987602,108.3,647.1,17.0,16.4,47,1.3,0.0,1.56
2,4,sep,sat,93.4,181.22399853576357,145.4,721.4,8.1,28.6,27,2.2,0.0,1.61
2,2,aug,wed,92.1,244.33272943394064,111.2,654.1,9.6,18.4,45,3.6,0.0,1.63
2,4,aug,wed,92.1,227.7809633779617,111.2,654.1,9.6,20.5,35,4.0,0.0,1.64
7,4,sep,fri,92.4,284.1927562102453,117.9,668.0,12.2,19.0,34,5.8,0.0,1.69
7,4,mar,mon,90.1,14.126155273199913,39.7,86.6,6.2,16.1,29,3.1,0.0,1.75
6,4,aug,thu,95.2,195.23538454142889,131.7,578.8,10.4,20.3,41,4.0,0.0,1.9
6,3,mar,sat,90.6,89.07107533478666,50.1,100.4,7.8,15.2,31,8.5,0.0,1.94
8,6,sep,sat,92.5,276.07938488432995,121.1,674.4,8.6,17.8,56,1.8,0.0,1.95
8,5,sep,sun,89.7,213.21597160037805,90.0,704.4,4.8,17.8,67,2.2,0.0,2.01
6,5,mar,thu,84.9,7.561098186227774,18.2,55.0,3.0,5.3,70,4.5,0.0,2.14
6,5,aug,wed,92.1,269.42725039189907,111.2,654.1,9.6,16.6,47,0.9,0.0,2.29
6,5,aug,wed,96.0,229.3908770635968,127.1,570.5,16.5,23.4,33,4.5,0.0,2.51
6,5,mar,fri,91.2,80.22058451128404,48.3,97.8,12.5,14.6,26,9.4,0.0,2.53
8,6,aug,thu,95.2,272.15601776240317,,578.8,10.4,20.7,45,2.2,0.0,2.55
5,4,sep,wed,92.9,206.45568175512264,133.3,699.6,9.2,21.9,35,1.8,0.0,2.57
8,6,aug,wed,85.6,124.56191635584116,90.4,609.6,6.6,17.4,50,4.0,0.0,2.69
7,4,aug,sun,91.4,248.21099333152355,142.4,601.4,10.6,20.1,39,5.4,0.0,2.74
4,4,sep,mon,90.9,189.98015974676326,126.5,686.5,7.0,17.7,39,2.2,0.0,3.07
1,4,aug,sat,90.2,227.5806132872629,96.9,624.2,8.9,14.2,53,1.8,0.0,3.5
1,4,aug,sat,90.2,241.65972789662843,96.9,624.2,8.9,20.3,39,4.9,0.0,4.53
6,5,apr,thu,81.5,70.1857471888413,9.1,55.2,2.7,5.8,54,5.8,0.0,4.61
2,5,aug,sun,90.2,158.4658879861393,99.6,631.2,6.3,19.2,44,2.7,0.0,4.69
2,5,sep,wed,90.1,227.32277288588068,82.9,735.7,6.2,18.3,45,2.2,0.0,4.88
8,6,aug,tue,88.8,173.12135840529547,147.3,614.5,9.0,14.4,66,5.4,0.0,5.23
1,3,sep,sun,92.4,175.33806205344996,124.1,680.7,8.5,23.9,32,6.7,0.0,5.33
8,6,oct,mon,84.9,193.38536343765347,32.8,664.2,3.0,19.1,32,4.0,0.0,5.44
5,4,feb,sun,86.8,6.476808829462485,15.6,48.3,3.9,12.4,53,2.2,0.0,6.38
7,4,oct,mon,91.7,170.9308581574639,,696.1,11.1,16.8,45,4.5,0.0,6.83
8,6,aug,fri,93.9,190.26312252760752,135.7,586.7,15.1,20.8,34,4.9,0.0,6.96
2,5,sep,tue,91.0,226.5143213711913,129.5,692.6,7.0,17.6,46,3.1,0.0,7.04
8,6,mar,sun,89.3,70.24161621498793,51.3,102.2,9.6,11.5,39,5.8,0.0,7.19
1,5,sep,mon,90.9,159.52213068345776,126.5,686.5,7.0,21.0,42,2.2,0.0,7.3
6,4,mar,sat,90.8,54.111929172216556,41.9,89.4,7.9,13.3,42,0.9,0.0,7.4
7,4,mar,sun,90.7,38.63734538825085,44.0,92.4,5.5,11.5,60,4.0,0.0,8.24
6,5,mar,fri,91.2,22.730245402671855,48.3,97.8,12.5,11.7,33,4.0,0.0,8.31
2,5,aug,thu,95.2,195.69304185555424,131.7,578.8,10.4,24.2,28,2.7,0.0,8.68
2,2,aug,tue,94.8,109.22738293317651,108.3,647.1,17.0,24.6,22,4.5,0.0,8.71
4,5,sep,wed,92.9,215.36998763547507,133.3,699.6,9.2,24.3,25,4.0,0.0,9.41
2,2,aug,tue,94.8,168.18562136946358,108.3,647.1,17.0,24.6,22,4.5,0.0,10.01
2,5,aug,fri,93.9,151.10466361063305,135.7,586.7,15.1,23.5,36,5.4,0.0,10.02
6,5,apr,thu,81.5,6.698182671088212,9.1,55.2,2.7,5.8,54,5.8,0.0,10.93
4,5,sep,thu,92.9,249.69126831463618,137.0,706.4,9.2,21.5,15,0.9,0.0,11.06
3,4,sep,tue,91.0,244.8352484521217,129.5,692.6,7.0,13.9,59,6.3,0.0,11.24
2,4,sep,mon,63.5,242.21043492041065,70.8,665.3,0.8,22.6,38,3.6,0.0,11.32
1,5,sep,tue,91.0,252.93234885800558,129.5,692.6,7.0,21.6,33,2.2,0.0,11.53
6,5,mar,sun,90.1,0.0,37.6,83.7,7.2,12.4,54,3.6,0.0,12.1
7,4,feb,sun,83.9,1.1940579091571912,,32.1,2.1,8.8,68,2.2,0.0,13.05
8,6,oct,wed,91.4,193.79917338503265,37.9,673.8,5.2,20.2,37,2.7,0.0,13.7
5,6,mar,sat,90.6,30.881177086978386,50.1,100.4,7.8,15.1,64,4.0,0.0,13.99
4,5,sep,thu,92.9,147.49186150291996,137.0,706.4,9.2,22.1,34,1.8,0.0,14.57
2,2,aug,sat,93.5,216.69454109030679,139.4,594.2,20.3,22.9,31,7.2,0.0,15.45
7,5,sep,tue,91.0,153.0306868449902,129.5,692.6,7.0,20.7,37,2.2,0.0,17.2
6,5,sep,fri,92.4,204.70584776266494,117.9,668.0,12.2,19.6,33,6.3,0.0,19.23
8,3,sep,thu,93.7,289.78196592003695,80.9,685.2,17.9,23.2,26,4.9,0.0,23.41
4,4,oct,sat,90.6,211.65072539105134,43.7,686.9,6.7,18.4,25,3.1,0.0,24.23
7,4,aug,sat,93.5,211.71279588320272,139.4,594.2,20.3,5.1,96,5.8,0.0,26.0
7,4,sep,fri,94.3,187.563272208031,85.1,692.3,15.9,20.1,47,4.9,0.0,26.13
7,3,mar,mon,87.6,79.53994602664646,52.2,103.8,5.0,11.0,46,5.8,0.0,27.35
4,4,mar,sat,91.7,87.47213884705705,35.8,80.8,7.8,17.0,27,4.9,0.0,28.66
4,4,mar,sat,91.7,84.31434098873919,35.8,80.8,,17.0,27,4.9,0.0,28.66
4,4,sep,sun,92.4,242.41588745110118,124.1,680.7,8.5,16.9,60,1.3,0.0,29.48
1,3,sep,mon,88.6,157.61766874146335,91.8,709.9,7.1,12.4,73,6.3,0.0,30.32
4,5,sep,wed,92.9,263.30290720311103,133.3,699.6,9.2,19.4,19,1.3,0.0,31.72
6,5,mar,mon,90.1,38.86861249721244,39.7,86.6,6.2,15.2,27,3.1,0.0,31.86
8,6,aug,sun,90.2,181.04147876657555,99.6,631.2,6.3,16.2,59,3.1,0.0,32.07
3,4,sep,fri,93.3,266.8894174055453,141.2,713.9,13.9,18.6,49,3.6,0.0,35.88
4,3,mar,mon,87.6,25.788457868925498,52.2,103.8,5.0,11.0,46,5.8,0.0,36.85
2,2,jul,fri,88.3,109.49225128513459,150.3,309.9,6.8,13.4,79,3.6,0.0,37.02
7,4,sep,wed,90.1,219.41223050723815,82.9,735.7,6.2,15.4,57,4.5,0.0,37.71
4,4,sep,sun,93.5,224.0885988349536,149.3,728.6,8.1,22.9,39,4.9,0.0,48.55
7,5,oct,mon,91.7,242.07330252387735,48.5,696.1,11.1,16.1,44,4.0,0.0,49.37
8,6,aug,sat,92.2,160.82597096630366,81.8,480.8,11.9,20.1,34,4.5,0.0,58.3
4,6,sep,sun,93.5,264.027576615807,149.3,728.6,8.1,28.3,26,3.1,0.0,64.1
8,6,aug,sat,92.2,217.25278163427527,81.8,480.8,11.9,16.4,43,4.0,0.0,71.3
4,4,sep,wed,92.9,181.46900890938753,133.3,699.6,9.2,26.4,21,4.5,0.0,88.49
1,5,sep,sun,93.5,183.60071799283133,149.3,728.6,8.1,27.8,27,3.1,0.0,95.18
6,4,sep,tue,91.0,263.16413247441943,129.5,692.6,7.0,18.7,43,2.7,0.0,103.39
9,4,sep,tue,84.4,225.52673803412645,73.4,671.9,3.2,24.3,36,3.1,0.0,105.66
4,5,sep,sat,92.5,258.7943541053791,121.1,674.4,8.6,17.7,25,3.1,0.0,154.88
8,6,aug,sun,91.4,122.01104031506513,142.4,601.4,10.6,19.6,41,5.8,0.0,196.48
2,2,sep,sat,92.5,224.37766673695654,121.1,674.4,8.6,18.2,46,1.8,0.0,200.94
1,2,sep,tue,91.0,274.395428348919,129.5,692.6,7.0,18.8,40,2.2,0.0,212.88
6,5,sep,sat,92.5,222.7356718412168,121.1,674.4,8.6,25.1,27,4.0,0.0,1090.84
7,5,apr,sun,81.9,15.862072657868012,3.0,7.9,3.5,13.4,75,1.8,0.0,0.0
6,3,apr,wed,88.0,98.42629769334897,17.2,43.5,3.8,15.2,51,2.7,0.0,0.0
4,4,apr,fri,83.0,106.36633903842653,23.3,85.3,2.3,16.7,20,3.1,0.0,0.0
2,4,aug,sun,94.2,179.77916373155543,122.3,589.9,12.9,15.4,66,4.0,0.0,10.13
7,4,aug,sun,91.8,263.19509901739286,175.1,700.7,13.8,21.9,73,7.6,1.0,0.0
2,4,aug,sun,91.8,249.4888733919543,175.1,700.7,13.8,22.4,54,7.6,0.0,2.87
3,4,aug,sun,91.8,213.4144246781639,175.1,700.7,13.8,26.8,38,6.3,0.0,0.76
5,4,aug,sun,91.8,282.06516081876504,175.1,700.7,13.8,25.7,39,5.4,0.0,0.09
2,4,aug,wed,92.2,149.05486682153554,91.6,503.6,9.6,20.7,70,2.2,0.0,0.75
8,6,aug,wed,93.1,198.92161299711904,157.3,666.7,13.5,28.7,28,2.7,0.0,0.0
3,4,aug,wed,93.1,128.2819457858888,157.3,666.7,13.5,21.7,40,0.4,0.0,2.47
8,5,aug,wed,93.1,238.68849056251887,157.3,666.7,13.5,26.8,25,3.1,0.0,0.68
8,5,aug,wed,93.1,255.07002903659287,157.3,666.7,13.5,24.0,36,3.1,0.0,0.24
6,5,aug,wed,93.1,166.54419738167599,157.3,666.7,13.5,22.1,37,3.6,0.0,0.21
7,4,aug,thu,91.9,214.07063553638267,109.2,565.5,8.0,21.4,38,2.7,0.0,1.52
6,3,aug,thu,91.6,191.8137773349921,138.1,621.7,6.3,18.9,41,3.1,0.0,10.34
2,5,aug,thu,87.5,186.28431311615185,77.0,694.8,5.0,22.3,46,4.0,0.0,0.0
8,6,aug,sat,94.2,206.15986891301657,117.2,581.1,11.0,23.9,41,2.2,0.0,8.02
4,3,aug,sat,94.2,186.63566041595482,117.2,581.1,11.0,21.4,44,2.7,0.0,0.68
3,4,aug,sat,91.8,224.8663425590229,170.9,692.3,13.7,20.6,59,0.9,0.0,0.0
7,4,aug,sat,91.8,207.87571781989365,170.9,692.3,13.7,23.7,40,1.8,0.0,1.38
2,4,aug,mon,93.6,138.19194435213848,97.9,542.0,14.4,28.3,32,4.0,0.0,8.85
3,4,aug,fri,91.6,198.42799424687652,112.4,573.0,8.9,11.2,84,7.6,0.0,3.3
2,4,aug,fri,91.6,197.15293677219458,112.4,573.0,,21.4,42,3.1,0.0,4.25
6,3,aug,fri,91.1,225.61714568488213,141.1,629.1,7.1,19.3,39,3.6,0.0,1.56
4,4,aug,fri,94.3,214.0428428403116,167.6,684.4,13.0,21.8,53,3.1,0.0,6.54
4,4,aug,tue,93.7,172.2034336799851,102.2,550.3,14.6,22.1,54,7.6,0.0,0.79
6,5,aug,tue,94.3,281.02623715566745,131.7,607.1,22.7,19.4,55,4.0,0.0,0.17
2,2,aug,tue,92.1,172.0991813943884,152.6,658.2,14.3,23.7,24,3.1,0.0,0.0
